Date,OCR,one_year,two_year,five_year,ten_year
31929,NA,18.23,18.26,16.11,15.49
31959,NA,18.32,18.08,16.34,15.58
31990,NA,17.96,17.84,16.38,15.65
32021,NA,18.13,17.94,16.34,15.67
32051,NA,18.86,18.27,16.4,15.65
32082,NA,18.09,17.64,15.92,15.17
32112,NA,16.52,16.47,15.32,14.41
32143,NA,16.15,16.1,15.06,14.13
32174,NA,15.47,15.15,14.43,13.66
32203,NA,14.31,13.89,13.42,13.05
32234,NA,14.48,13.76,13.18,12.95
32264,NA,15.1,14.22,13.11,12.78
32295,NA,15.44,14.67,13.09,12.81
32325,NA,14.7,14.11,12.91,12.69
32356,NA,14.35,13.98,13.03,12.74
32387,NA,14.2,13.95,12.95,12.76
32417,NA,14.22,13.99,12.96,12.82
32448,NA,14.34,14.27,13.33,13.2
32478,NA,14.72,14.71,13.98,13.8
32509,NA,13.96,13.97,13.54,13.38
32540,NA,13.28,13.26,13.11,13.1
32568,NA,13.32,13.32,13.19,13.23
32599,NA,13.28,13.28,13.17,13.3
32629,NA,13.31,13.3,13.11,13.22
32660,NA,13.38,13.35,13.11,13.1
32690,NA,13.41,13.32,13.02,12.95
32721,NA,12.96,12.73,12.13,12.23
32752,NA,13.2,12.74,12.08,12.23
32782,NA,13.72,13.21,12.24,12.46
32813,NA,13.8,13.05,12.23,12.31
32843,NA,13.9,13.31,12.4,12.44
32874,NA,13.69,13.2,12.19,12.26
32905,NA,13.52,13.15,12.06,12.1
32933,NA,13.48,13.08,12.09,12.21
32964,NA,13.42,13.01,12.26,12.38
32994,NA,13.26,12.91,12.31,12.34
33025,NA,13.42,13.13,12.31,12.16
33055,NA,13.45,12.99,12.27,12.08
33086,NA,13.96,13.43,12.88,12.71
33117,NA,14.09,13.58,12.88,12.87
33147,NA,14.05,13.63,13.01,12.92
33178,NA,13.64,13.36,12.95,12.96
33208,NA,13.09,12.85,12.35,12.35
33239,NA,12.33,12.31,12.16,12.14
33270,NA,11.89,11.76,11.53,11.46
33298,NA,11.86,11.72,11.39,11.29
33329,NA,11.12,10.98,10.88,10.79
33359,NA,9.88,9.87,9.96,9.99
33390,NA,9.4,9.47,9.64,9.8
33420,NA,9.32,9.34,9.64,9.76
33451,NA,9.28,9.32,9.74,9.93
33482,NA,8.81,8.9,9.25,9.44
33512,NA,7.91,8.19,8.63,8.89
33543,NA,8.01,8.13,8.58,8.86
33573,NA,7.76,7.84,8.55,8.97
33604,NA,7.44,7.72,8.57,8.98
33635,NA,7.5,7.76,8.84,9.32
33664,NA,7.35,7.66,8.61,9.06
33695,NA,7.44,7.74,8.43,8.96
33725,NA,7.1,7.51,8.27,8.78
33756,NA,6.91,7.41,8.15,8.61
33786,NA,6.17,6.55,7.37,7.97
33817,NA,6.14,6.41,7.15,7.87
33848,NA,6.42,6.76,7.31,7.93
33878,NA,6.31,6.7,7.18,7.83
33909,NA,6.2,6.58,7.07,7.69
33939,NA,6.84,7.13,7.45,7.82
33970,NA,7.52,7.58,7.63,7.86
34001,NA,7.42,7.49,7.53,7.79
34029,NA,7.21,7.27,7.25,7.45
34060,NA,7.16,7.27,7.23,7.32
34090,NA,6.68,6.87,7.05,7.27
34121,NA,6.52,6.88,7.13,7.33
34151,NA,6.29,6.39,6.68,6.94
34182,NA,6.03,6.09,6.29,6.55
34213,NA,5.59,5.68,5.94,6.27
34243,NA,5.63,5.67,5.86,6.12
34274,NA,5.76,5.77,5.93,6.23
34304,NA,5.42,5.51,5.77,6.08
34335,NA,4.79,4.89,5.31,5.69
34366,NA,4.83,4.94,5.4,5.81
34394,NA,5.46,5.61,5.99,6.29
34425,NA,6.35,6.57,6.87,7.01
34455,NA,6.17,6.59,6.99,7.19
34486,NA,6.47,6.93,7.27,7.48
34516,NA,7.27,7.74,8.02,8.09
34547,NA,7.51,7.93,8.14,8.2
34578,NA,8.33,8.69,8.97,9.05
34608,NA,8.55,8.8,8.93,8.99
34639,NA,8.94,9,9.05,9.09
34669,NA,9.59,9.49,8.83,8.68
34700,NA,9.44,9.36,8.83,8.59
34731,NA,9.45,9.29,8.8,8.58
34759,NA,9.32,8.89,8.52,8.38
34790,NA,9.05,8.43,8.01,7.87
34820,NA,8.95,8.29,7.65,7.44
34851,NA,8.89,8.29,7.7,7.48
34881,NA,8.14,7.9,7.73,7.61
34912,NA,8.26,8.01,7.98,7.94
34943,NA,8.52,8.29,8,7.78
34973,NA,8.04,7.71,7.43,7.32
35004,NA,7.77,7.47,7.19,7.17
35034,NA,8.15,7.86,7.4,7.19
35065,NA,8.23,7.81,7.33,7.06
35096,NA,8.26,7.94,7.55,7.22
35125,NA,8.64,8.45,8.19,7.82
35156,NA,8.99,8.83,8.64,8.25
35186,NA,9.13,8.96,8.78,8.52
35217,NA,9.26,9.13,9.1,8.83
35247,NA,9.14,8.84,8.74,8.55
35278,NA,8.69,8.19,8.22,8.17
35309,NA,8.73,8.1,8.27,8.29
35339,NA,8.49,7.43,7.63,7.64
35370,NA,7.87,6.89,7.06,7.16
35400,NA,7.52,6.98,7.01,7.22
35431,NA,7.25,7.03,7.1,7.34
35462,NA,7.26,7.27,7.34,7.34
35490,NA,7.58,7.69,7.79,7.78
35521,NA,7.7,7.9,8.07,8.1
35551,NA,7.08,7.36,7.54,7.62
35582,NA,6.78,6.84,6.99,7.13
35612,NA,7.09,6.86,6.81,6.81
35643,NA,7.55,7.29,7.16,7.05
35674,NA,7.52,7.03,6.93,6.88
35704,NA,7.41,6.84,6.73,6.64
35735,NA,7.38,6.9,6.82,6.65
35765,NA,8,7.37,7.19,6.96
35796,NA,8.51,7.39,7.05,6.74
35827,NA,8.6,7.45,7.16,6.83
35855,NA,8.68,7.65,7.34,6.93
35886,NA,8.96,7.76,7.13,6.82
35916,NA,8.61,7.56,6.93,6.66
35947,NA,8.41,7.7,6.94,6.6
35977,NA,7.05,7.05,6.57,6.25
36008,NA,6.55,6.54,6.34,6.17
36039,NA,6.03,6.05,6.05,6.02
36069,NA,5.27,5.32,5.4,5.46
36100,NA,5.01,5.21,5.46,5.59
36130,NA,4.75,5.01,5.27,5.38
36161,NA,4.87,5.13,5.41,5.53
36192,NA,4.67,5.04,5.43,5.62
36220,4.5,4.39,5.01,5.55,5.84
36251,4.5,4.15,4.78,5.37,5.7
36281,4.5,4.13,4.93,5.73,6.12
36312,4.5,4.41,5.26,6.15,6.51
36342,4.5,4.54,5.23,6.13,6.54
36373,4.5,5.1,5.72,6.49,6.88
36404,4.5,5.81,6.22,6.67,6.91
36434,4.5,5.79,6.26,6.83,7.11
36465,5,5.88,6.33,6.8,7.02
36495,5,6.09,6.6,6.99,7.17
36526,5.25,6.34,6.88,7.28,7.48
36557,5.25,6.67,7.07,7.25,7.31
36586,5.75,6.65,6.96,7.04,7.06
36617,6,6.67,6.87,6.9,6.84
36647,6.5,6.91,7.09,7.12,7.1
36678,6.5,6.96,7,6.94,6.85
36708,6.5,6.77,6.78,6.74,6.73
36739,6.5,6.74,6.78,6.7,6.68
36770,6.5,6.79,6.79,6.75,6.74
36800,6.5,6.69,6.69,6.69,6.7
36831,6.5,6.57,6.57,6.57,6.59
36861,6.5,6.41,6.28,6.18,6.15
36892,6.5,5.89,5.83,5.99,6.06
36923,6.5,5.87,5.8,5.9,6.04
36951,6.25,5.74,5.64,5.74,5.95
36982,6,5.59,5.72,5.97,6.26
37012,5.75,5.64,5.9,6.33,6.62
37043,5.75,5.67,6.09,6.45,6.63
37073,5.75,5.65,6.16,6.59,6.74
37104,5.75,5.71,6.01,6.42,6.58
37135,5.25,5.41,5.58,6.21,6.52
37165,5.25,4.99,4.93,5.89,6.4
37196,4.75,4.76,4.79,5.79,6.3
37226,4.75,4.74,4.64,6.19,6.62
37257,4.75,4.73,4.66,6.25,6.58
37288,4.75,4.52,5.69,6.35,6.61
37316,5,4.97,6.09,6.67,6.88
37347,5.25,5.57,6.25,6.71,6.87
37377,5.5,5.73,6.13,6.66,6.81
37408,5.5,5.79,6.05,6.48,6.64
37438,5.75,5.73,5.81,6.29,6.54
37469,5.75,5.66,5.66,6.08,6.33
37500,5.75,5.57,5.61,5.92,6.17
37530,5.75,5.63,5.75,6.02,6.33
37561,5.75,5.66,5.76,5.95,6.29
37591,5.75,5.71,5.78,5.93,6.28
37622,5.75,5.63,5.66,5.8,6.12
37653,5.75,5.45,5.43,5.46,5.88
37681,5.75,5.44,5.39,5.47,5.91
37712,5.5,5.4,5.39,5.52,5.98
37742,5.5,5.03,5.02,5.19,5.6
37773,5.25,4.85,4.8,4.84,5.23
37803,5,4.85,4.9,5.08,5.54
37834,5,4.99,5.22,5.44,5.91
37865,5,5.08,5.3,5.55,5.95
37895,5,5.37,5.54,5.79,6.02
37926,5,5.59,5.81,6.11,6.21
37956,5,5.49,5.65,5.93,6.05
37987,5.25,5.37,5.52,5.79,5.93
38018,5.25,5.5,5.54,5.76,5.91
38047,5.25,5.38,5.38,5.59,5.74
38078,5.5,5.43,5.54,5.86,6.04
38108,5.5,5.75,5.85,6.1,6.26
38139,5.75,5.93,5.97,6.16,6.29
38169,6,6.09,6.01,6.08,6.18
38200,6,6.22,6.14,6.16,6.2
38231,6.25,6.34,6.26,6.18,6.16
38261,6.5,6.24,6.15,6.07,6.08
38292,6.5,6.22,6.09,6.01,6.05
38322,6.5,6.28,6.11,5.98,5.95
38353,6.5,6.38,6.23,6.04,5.99
38384,6.5,6.33,6.3,6.09,5.95
38412,6.75,6.45,6.39,6.29,6.16
38443,6.75,6.47,6.27,6.09,5.99
38473,6.75,6.42,6.19,5.91,5.81
38504,6.75,6.32,6.05,5.84,5.71
38534,6.75,6.39,5.99,5.83,5.75
38565,6.75,6.46,5.99,5.78,5.77
38596,6.75,6.49,5.95,5.74,5.71
38626,7,6.61,6.16,5.99,5.88
38657,7,6.82,6.68,6.16,5.95
38687,7.25,6.82,6.23,5.95,5.83
38718,7.25,6.46,5.92,5.77,5.72
38749,7.25,6.39,5.79,5.74,5.7
38777,7.25,6.82,6,5.8,5.72
38808,7.25,6.82,6.11,5.83,5.74
38838,7.25,6.81,6.27,5.91,5.81
38869,7.25,6.89,6.37,5.97,5.84
38899,7.25,7,6.59,6.1,5.88
38930,7.25,7.01,6.65,6.19,5.84
38961,7.25,7.08,6.64,6.19,5.8
38991,7.25,7.24,6.68,6.24,5.84
39022,7.25,6.77,6.44,6.16,5.71
39052,7.25,6.5,6.49,6.22,5.77
39083,7.25,6.57,6.52,6.3,5.93
39114,7.25,6.79,6.59,6.37,5.94
39142,7.5,6.99,6.79,6.5,5.87
39173,7.75,7.24,7.06,6.71,6.06
39203,7.75,7.32,7.15,6.8,6.17
39234,8,7.49,7.33,7.13,6.72
39264,8.25,7.81,7.6,7.28,6.77
39295,8.25,7.76,7.56,7.01,6.4
39326,8.25,7.03,6.93,6.55,6.16
39356,8.25,7.07,7.03,6.81,6.37
39387,8.25,7.35,7.32,7.04,6.39
39417,8.25,7.52,7.47,7.16,6.4
39448,8.25,7.52,7.24,7.01,6.28
39479,8.25,7.32,7.06,6.92,6.4
39508,8.25,7.08,6.74,6.68,6.36
39539,8.25,6.89,6.61,6.57,6.48
39569,8.25,6.89,6.59,6.52,6.43
39600,8.25,7.03,6.58,6.44,6.42
39630,8,6.9,6.19,6.18,6.18
39661,8,6.88,6.19,6.18,6.13
39692,7.5,6.43,5.77,5.77,5.82
39722,6.5,5.61,5.57,5.69,5.86
39753,6.5,5.26,5.3,5.48,5.73
39783,5,4.52,4.52,4.58,4.88
39814,3.5,3.55,3.79,4.03,4.49
39845,3.5,3.12,3.48,3.88,4.53
39873,3,3.12,3.53,4.02,4.77
39904,2.5,2.99,3.71,4.36,5.24
39934,2.5,NA,3.62,4.48,5.59
39965,2.5,NA,3.78,4.8,5.97
39995,2.5,NA,3.75,4.72,5.75
40026,2.5,NA,3.98,4.91,5.82
40057,2.5,NA,4.01,4.84,5.63
40087,2.5,NA,4.28,5.06,5.66
40118,2.5,NA,4.23,5.43,6.01
40148,2.5,NA,4.21,5.41,6.02
40179,2.5,NA,4.16,5.34,6
40210,2.5,NA,3.84,5.09,5.86
40238,2.5,NA,3.73,5.09,5.86
40269,2.5,NA,3.77,5.19,5.96
40299,2.5,NA,3.83,5.06,5.73
40330,2.75,NA,3.75,4.85,5.51
40360,3,NA,3.75,4.7,5.4
40391,3,3.59,4.04,4.51,5.24
40422,3,3.64,4.06,4.55,5.28
40452,3,3.5,3.9,4.37,5.09
40483,3,3.58,4.19,4.72,5.49
40513,3,3.41,4.08,4.79,5.82
40544,3,3.33,3.9,4.61,5.61
40575,3,3.2,3.83,4.49,5.56
40603,2.5,2.64,3.46,4.32,5.58
40634,2.5,2.6,3.48,4.47,5.7
40664,2.5,2.59,3.22,4.15,5.23
40695,2.5,2.59,3.2,3.99,5.04
40725,2.5,2.62,3.29,4.03,5.07
40756,2.5,2.67,3.04,3.63,4.55
40787,2.5,2.55,2.96,3.45,4.41
40817,2.5,2.48,2.86,4.05,4.54
40848,2.5,NA,2.58,3.66,4.14
40878,2.5,NA,2.46,3.39,3.91
40909,2.5,NA,2.48,3.36,3.86
40940,2.5,2.63,2.71,3.5,3.98
40969,2.5,2.65,3.11,3.71,4.17
41000,2.5,2.6,2.94,3.54,3.98
41030,2.5,2.33,2.41,2.98,3.66
41061,2.5,2.37,2.37,2.83,3.4
41091,2.5,2.43,2.46,2.86,3.4
41122,2.5,2.51,2.63,3.04,3.66
41153,2.5,2.53,2.55,2.94,3.57
41183,2.5,2.5,2.49,2.85,3.51
41214,2.5,2.48,2.46,2.83,3.47
41244,2.5,NA,2.54,2.91,3.56
41275,2.5,NA,2.53,2.9,3.55
41306,2.5,NA,2.71,3.13,3.81
41334,2.5,NA,2.58,3.05,3.72
41365,2.5,NA,2.45,2.75,3.33
41395,2.5,NA,2.49,2.8,3.37
41426,2.5,NA,2.73,3.16,3.83
41456,2.5,NA,2.85,3.49,4.23
41487,2.5,NA,2.99,4,4.47
41518,2.5,NA,3.03,4.22,4.7
41548,2.5,3.05,3.06,4.22,4.65
41579,2.5,3.09,NA,4.21,4.7
41609,2.5,3.19,NA,4.27,4.76
41640,2.5,3.23,NA,4.16,4.64
41671,2.5,3.22,NA,4.06,4.57
41699,2.75,3.26,NA,4.11,4.58
41730,3,3.39,NA,4.23,4.55
41760,3,3.4,NA,4,4.29
41791,3.25,3.5,NA,4.08,4.42
41821,3.5,3.59,NA,4.09,4.37
41852,3.5,3.57,NA,3.98,4.2
41883,3.5,3.56,NA,4.01,4.19
41913,3.5,3.5,NA,3.94,4.04
41944,3.5,3.51,NA,3.89,4.03
41974,3.5,3.52,3.56,3.67,3.77
42005,3.5,NA,3.36,3.39,3.42
42036,3.5,NA,3.18,3.21,3.26
42064,3.5,NA,3.14,3.21,3.3
42095,3.5,NA,3.12,3.11,3.25
42125,3.5,NA,3.1,3.2,3.65
42156,3.25,NA,2.97,3.19,3.77
42186,3,NA,2.67,2.86,3.47
42217,3,NA,2.56,2.69,3.29
42248,2.75,NA,2.48,2.69,3.29
42278,2.75,NA,2.52,2.73,3.34
42309,2.75,NA,2.59,2.93,3.49
42339,2.5,NA,2.6,2.96,3.55
42370,2.5,NA,2.43,2.76,3.31
42401,2.5,NA,2.37,2.61,3.06
42430,2.25,NA,2.11,2.41,3.02
42461,2.25,NA,2.03,2.24,2.86
42491,2.25,NA,2.07,2.18,2.67
42522,2.25,2.07,2.08,2.12,2.51
42552,2.25,1.94,1.94,1.97,2.27
42583,2,1.78,1.78,1.8,2.19
42614,2,1.85,1.89,1.97,2.4
42644,2,1.88,1.93,2.07,2.53
42675,1.75,1.9,2.09,2.4,2.99
42705,1.75,1.91,2.23,2.62,3.33
42736,1.75,1.88,2.24,2.61,3.23
42767,1.75,1.88,2.21,2.61,3.29
42795,1.75,1.86,2.15,2.56,3.28
42826,1.75,1.83,2.1,2.41,3.05
42856,1.75,1.81,1.99,2.39,2.93
42887,1.75,1.8,1.95,2.46,2.77
42917,1.75,1.81,2,2.63,2.97
42948,1.75,1.89,2.03,2.47,2.88
42979,1.75,1.9,2.05,2.5,2.91
43009,1.75,1.89,2.06,2.52,2.97
43040,1.75,1.86,1.99,2.42,2.85
43070,1.75,1.8,1.92,2.33,2.76
43101,1.75,1.79,1.97,2.42,2.88
43132,1.75,1.77,1.88,2.41,2.97
43160,1.75,1.76,1.9,2.38,2.89
43191,1.75,1.78,1.92,2.37,2.82
43221,1.75,1.79,1.86,2.32,2.78
43252,1.75,1.78,1.88,2.29,2.9
43282,1.75,1.77,1.82,2.14,2.81
43313,1.75,1.74,1.72,2.01,2.64
43344,1.75,1.71,1.67,1.93,2.6
43374,1.75,1.73,1.78,1.98,2.62
43405,1.75,1.81,1.88,2.11,2.69
43435,1.75,1.74,1.75,1.92,2.45
43466,1.75,1.7,1.69,1.8,2.33
43497,1.75,1.69,1.68,1.7,2.18
43525,1.75,1.66,1.59,1.59,2.02
43556,1.75,1.49,1.47,1.58,1.96
43586,1.5,1.41,1.36,1.5,1.79
43617,1.5,1.23,1.18,1.3,1.63
43647,1.5,1.19,1.12,1.23,1.55
43678,1,0.93,0.82,0.88,1.13
43709,1,0.83,0.83,0.91,1.16
43739,1,0.78,0.78,0.89,1.16
43770,1,0.97,0.89,1.09,1.35
43800,1,1.07,NA,1.27,1.53
43831,1,1.04,NA,1.21,1.48
43862,1,0.97,NA,1.07,1.28
43891,0.25,0.45,NA,0.77,1.08
43922,0.25,0.24,NA,0.53,0.95
43952,0.25,0.1,NA,0.24,0.64
43983,0.25,0.19,NA,0.43,0.9
